Data;Último;Abertura;Máxima;Mínima
09.06.2021;37332.2;33385.5;37517.6;32428.6
08.06.2021;33382.9;33574.6;34047.8;31158.1
07.06.2021;33578.0;35815.4;36754.6;33410.1
06.06.2021;35815.4;35518.7;36434.0;35265.3
05.06.2021;35520.0;36841.2;37887.6;34832.0
04.06.2021;36851.3;39191.4;39255.4;35659.9
03.06.2021;39187.3;37555.7;39462.3;37193.6
02.06.2021;37555.8;36687.7;38199.9;35981.1
01.06.2021;36687.6;37294.3;37850.3;35742.7
31.05.2021;37298.6;35644.0;37480.7;34213.2
30.05.2021;35652.8;34589.3;36388.6;33441.0
29.05.2021;34584.6;35664.5;37227.1;33664.2
28.05.2021;35662.5;38543.2;38844.1;34772.4
27.05.2021;38417.3;39249.0;40322.2;37190.8
26.05.2021;39249.2;38375.7;40750.0;37847.0
25.05.2021;38378.3;38753.6;39740.8;36540.7
24.05.2021;38750.6;34720.3;39851.7;34474.6
23.05.2021;34679.7;37446.8;38248.7;31192.4
22.05.2021;37448.3;37291.0;38776.0;35314.9
21.05.2021;37297.4;40611.2;42108.3;33592.3
20.05.2021;40717.2;36706.8;42425.9;35010.4
19.05.2021;36720.5;42898.3;43516.6;30261.7
18.05.2021;42897.3;43538.5;45770.9;42293.9
17.05.2021;43541.3;46424.2;46545.4;42201.5
16.05.2021;46426.4;46729.3;49764.3;43920.8
15.05.2021;46708.8;49839.1;50640.9;46650.2
14.05.2021;49839.8;49704.9;51459.2;48874.0
13.05.2021;49704.6;49398.2;51337.3;46331.1
12.05.2021;49384.2;56694.5;57938.5;49187.0
11.05.2021;56695.7;55846.1;56871.1;54550.4
